Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Uliaga",,"Aleutian Is","Stratovolcano","53.07","-169.77","888","POINT(-169.77 53.07)",,,"1365"
"Ulreung",,"Korea","Stratovolcano","37.5","130.87","984","POINT(130.87 37.5)",,,"1366"
"Umboi",,"New Guinea-NE of","Complex volcano","-5.59","147.88","1548","POINT(147.88 -5.59)",,,"1367"
"Undara",,"Australia","Shield volcano","-18.25","144.75","1020","POINT(144.75 -18.25)",,,"1368"
"Ungaran",,"Java","Stratovolcano","-7.18","110.33","2050","POINT(110.33 -7.18)",,,"1369"
"Unnamed",,"Georgia","Cinder cones","42.45","44.25","3750","POINT(44.25 42.45)",,,"1370"
"Unnamed",,"Georgia","Lava cones","41.55","43.6","3400","POINT(43.6 41.55)",,,"1371"
"Unnamed",,"Ethiopia","Pyroclastic cones","8.7","39.63","1300","POINT(39.63 8.7)",,,"1372"
"Unnamed",,"Ethiopia","Fissure vents","8.62","38.95","1800","POINT(38.95 8.62)",,,"1373"
"Unnamed",,"Ethiopia","Fissure vents","8.07","39.07","1800","POINT(39.07 8.07)",,,"1374"
"Unnamed",,"Ethiopia","Cinder cones","5.65","37.67","1200","POINT(37.67 5.65)",,,"1375"
"Unnamed",,"Syria","Volcanic field","33","36.43","945","POINT(36.43 33)",,,"1376"
"Unnamed",,"Tonga-SW Pacific","Submarine volcano","-24.8","-177.02","-385","POINT(-177.02 -24.8)",,,"1377"
"Unnamed",,"Tonga-SW Pacific","Submarine volcano","-21.15","-175.75","-65","POINT(-175.75 -21.15)",,,"1378"
"Unnamed",,"Tonga-SW Pacific","Submarine volcano","-21.38","-175.65","-500","POINT(-175.65 -21.38)",,,"1379"
"Unnamed",,"Tonga-SW Pacific","Submarine volcano","-20.85","-175.53","-13","POINT(-175.53 -20.85)",,,"1380"
"Unnamed",,"Tonga-SW Pacific","Submarine volcano","-18.33","-174.37","-40","POINT(-174.37 -18.33)",,,"1381"
"Unnamed",,"Admiralty Is-SW Pacific","Submarine volcano","-3.03","147.78","-1300","POINT(147.78 -3.03)",,,"1382"
"Unnamed",,"New Guinea-NE of","Submarine volcano ?","-4.31","146.26","-2000","POINT(146.26 -4.31)",,,"1383"
"Unnamed",,"Solomon Is-SW Pacific","Submarine volcanoes","-8.92","158.03","-240","POINT(158.03 -8.92)",,,"1384"
"Unnamed",,"Vanuatu-SW Pacific","Stratovolcanoes","-16.99","168.59","216","POINT(168.59 -16.99)",,,"1385"
"Unnamed",,"SW Pacific","Submarine volcano","-25.78","168.63","-2400","POINT(168.63 -25.78)",,,"1386"
"Unnamed",,"Sangihe Is-Indonesia","Submarine volcano ?","3.97","124.17","-5000","POINT(124.17 3.97)",,,"1387"
"Unnamed",,"Luzon-N of","Submarine volcano","20.33","121.75","-24","POINT(121.75 20.33)",,,"1388"
"Unnamed",,"Taiwan-E of","Submarine volcano ?","19.17","132.25","-10","POINT(132.25 19.17)",,,"1389"
"Unnamed",,"Taiwan-E of","Submarine volcano ?","20.93","134.75","-6000","POINT(134.75 20.93)",,,"1390"
"Unnamed",,"Taiwan-E of","Submarine volcano","21.83","121.18","-115","POINT(121.18 21.83)",,,"1391"
"Unnamed",,"Taiwan-N of","Submarine volcano","25.4","122.2","-100","POINT(122.2 25.4)",,,"1392"
"Unnamed",,"Volcano Is-Japan","Submarine volcano ?","26.13","144.48","-3200","POINT(144.48 26.13)",,,"1393"
"Unnamed",,"Kuril Is","Submarine volcano","45.03","147.21","-930","POINT(147.21 45.03)",,,"1394"
"Unnamed",,"Kuril Is","Submarine volcano ?","46.1","150.5","-100","POINT(150.5 46.1)",,,"1395"
"Unnamed",,"Kuril Is","Submarine volcano","46.47","151.28","-502","POINT(151.28 46.47)",,,"1396"
"Unnamed",,"Kuril Is","Submarine volcano","48.08","153.33","-150","POINT(153.33 48.08)",,,"1397"
"Unnamed",,"Kamchatka","Cinder cone","51.6","156.55","298","POINT(156.55 51.6)",,,"1398"
